Mode,Ordering,Slots,TTFB Miliseconds,TTLB Miliseconds,Blocks,Id,ActualSlot
EarlyClose,Unordered,4,59.7745,77334.2498,10312,365,2
FixedBudget,Ordered,4,63.215,114442.341,16384,366,3
FixedBudget,Unordered,4,60.0326,124740.9691,16384,367,3
EarlyClose,Ordered,4,59.0084,103356.7185,14638,368,3
EarlyClose,Unordered,4,241.4107,77304.4772,10720,369,2
FixedBudget,Ordered,4,62.6732,113738.1038,16384,370,3
FixedBudget,Unordered,4,70.2706,123969.6068,16384,371,2
EarlyClose,Ordered,4,62.7696,104927.6156,14682,372,3
EarlyClose,Unordered,4,213.8357,103372.8343,14743,373,3
FixedBudget,Ordered,4,61.3792,117074.1723,16384,374,3
FixedBudget,Unordered,4,70.6804,123340.9449,16384,375,1
EarlyClose,Ordered,4,62.7419,104040.1937,14626,376,3
EarlyClose,Unordered,4,215.604,52286.4991,6403,377,1
FixedBudget,Ordered,4,60.7513,116283.2059,16384,378,3
FixedBudget,Unordered,4,68.9345,122119.7875,16384,379,0
EarlyClose,Ordered,4,63.0188,105076.3802,14742,380,3
EarlyClose,Unordered,4,64.1454,27465.1757,1869,381,0
FixedBudget,Ordered,4,64.9643,115829.286,16384,382,3
FixedBudget,Unordered,4,151.5061,125365.009,16384,383,3
EarlyClose,Ordered,4,64.3419,104810.1638,14511,384,3
EarlyClose,Unordered,4,60.6672,79407.4552,10824,385,2
FixedBudget,Ordered,4,61.5058,114824.4727,16384,386,3
FixedBudget,Unordered,4,68.9862,125556.5761,16384,387,2
EarlyClose,Ordered,4,70.2557,104042.0497,14818,388,3
EarlyClose,Unordered,4,213.8765,27499.3271,1925,389,0
FixedBudget,Ordered,4,65.0068,116727.1328,16384,390,3
FixedBudget,Unordered,4,61.6763,124103.8782,16384,391,2
EarlyClose,Ordered,4,61.708,103560.0968,14625,392,3
EarlyClose,Unordered,4,210.0431,79368.8902,10562,393,2
FixedBudget,Ordered,4,65.1069,114718.3498,16384,394,3
FixedBudget,Unordered,4,63.2277,125928.5095,16384,395,2
EarlyClose,Ordered,4,62.8369,106302.3515,14621,396,3
EarlyClose,Unordered,4,133.0699,27490.1579,1929,397,0
FixedBudget,Ordered,4,64.2161,114847.8482,16384,398,3
FixedBudget,Unordered,4,193.7663,126469.2032,16384,399,2
